id,Product_code,UPC_code,Manufacturer,Model,Product_name,shortDescription,longDescription,additionalImageURLs,Product_type_code,Image_URL,Thumbnail,Color,Selling_Price,Regular_Price,Primary_Category_ID,Sales_rank_short,Sales_rank_medium,Sales_rank_long,Bestseller_rank,OnSale,TopRated,AvailableInStore,FreeShipping,AverageReviewRating,ReviewCount,created_at,updated_at,cat1,cat2,cat3,cat4,cat5
1,1997404,4.68E+11,JVC,HAEN10-W-K,Update JVC - Gumy Wired Earbud Headphones - White,FR  JVC Gumy Earbud Headphones: Sound isolating; ear cushions included; sweatproof,"Jam out to your favorite tunes while you work out with these JVC Gumy HAEN10-W-K earbud headphones, which feature sound isolation to block out background noise.",https://pisces.bbystatic.com/image2/BestBuy_US/images/products/1997/1997404_sb.jpg|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/1997/1997404fp.gif,bundle,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/1997/1997404_sa.jpg,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/1997/1997404_s.gif,White/Black,10.99,10.99,12,20395,22639,19516,20058,0,0,1,1,4,31,21/01/2020 15:28,28/01/2020 14:25,Audio,Headphones,All Headphones,,
2,1997422,4.68E+11,JVC,HAFR6R,Update JVC - Gumy Plus Wired Earbud Headphones - Red,FR  JVC Gumy Plus Earbud Headphones: Sound isolating; built-in microphone; in-line remote; 3.3' cord; 3.5mm gold-plated stereo plug; includes 3 sizes of silicone earpieces,"With a sound-isolating design, these JVC Gumy Plus HAFR6R earbud headphones help you stay immersed in your favorite tunes by blocking out background sounds. The in-line remote simplifies music navigation.",https://pisces.bbystatic.com/image2/BestBuy_US/images/products/1997/1997422_sb.jpg|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/1997/1997422fp.gif|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/1997/1997422_s.gif|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/1997/1997422_sb.jpg,test,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/1997/1997422_sa.jpg,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/1997/1997422_s.gif,Red/White/Black,11.99,11.99,13,NULL,26370,17957,19033,0,0,1,1,4.2,3900,21/01/2020 15:28,28/01/2020 14:25,Audio,Headphones,All Headphones,,
3,1997431,1.21E+11,JVC,HAEN10-B-K,JVC - Gumy Wired Earbud Headphones - Black,FR  JVC Gumy Earbud Headphones: Sound isolating; ear cushions included; sweatproof,"Jam out to your favorite tunes while you work out with these JVC Gumy HAEN10-B-K earbud headphones, which feature sound isolation to block out background noise.",https://pisces.bbystatic.com/image2/BestBuy_US/images/products/1997/1997431_sb.jpg|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/1997/1997431fp.gif|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/1997/1997431_s.gif|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/1997/1997431_sb.jpg,bundle,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/1997/1997431_sa.jpg,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/1997/1997431_s.gif,Black,14.95,14.95,12,13964,14490,12912,13287,0,0,1,1,4,31,21/01/2020 15:28,28/01/2020 14:25,Audio,Headphones,All Headphones,,
4,2224026,8.13E+11,JLab Audio,HJBUDDIESRGRYBLU6,JLab Audio - JBuddies Folding Wired On-Ear Headphones - Blue/Gray,FR  folding design; spill-resistant design; customizable; built-in volume limiter,"Listen to music safely with these JLab Audio JBuddies folding headphones, which have an integrated 85db volume leveler to safeguard sensitive ears. Equipped with soft cushions which stay comfortable for extended periods, these earphones and make a great addition to your kid&#8217;s travel kit. Use these versatile JLab Audio JBuddies folding headphones with a range of devices.",https://pisces.bbystatic.com/image2/BestBuy_US/images/products/2224/2224026_sb.jpg|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/2224/2224026fp.gif|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/2224/2224026_s.gif|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/2224/2224026_sb.jpg,test,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/2224/2224026_sa.jpg,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/2224/2224026_s.gif,Blue/Gray,19.99,19.99,13,7439,6866,7515,7445,0,0,1,0,4.2,276,21/01/2020 15:28,28/01/2020 14:25,Audio,Headphones,All Headphones,,
5,2224099,8.13E+11,JLab Audio,HJBUDDIESRBLKPNK6,JLab Audio - JBuddies Folding Wired On-Ear Headphones - Black/Pink,FR  folding design; spill-resistant design; customizable; built-in volume limiter,"Entertain your kids with these JLab Audio JBuddies folding headphones, which fit neatly into any travel bag. Soft ear cushions stay comfortable for hours, while the unit&#8217;s volume leveler keeps audio at a reasonable level, protecting sensitive ears. Durable and appealing, these JLab Audio JBuddies folding headphones are made especially for smaller people.",https://pisces.bbystatic.com/image2/BestBuy_US/images/products/2224/2224099_sb.jpg|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/2224/2224099fp.gif|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/2224/2224099_s.gif|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/2224/2224099_sb.jpg,bundle,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/2224/2224099_sa.jpg,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/2224/2224099_s.gif,Black/Pink,19.99,19.99,12,8376,8822,10473,10081,0,0,1,0,4.2,276,21/01/2020 15:28,28/01/2020 14:25,Audio,Headphones,All Headphones,,
